acceleration;frequency;boost;sensor;source_file;axis;source_filename;error_%;Optimal_k;new_error_%
0,1077503256;10;0.1;1;S;X;1-s 10hz-0.1.csv;0,14;0,9541441766;0,0501668875
0,5211114815;10;0.5;1;S;X;1-s 10hz-0.5.csv;0,38;0,9541441766;0,0497234745
1,0485400622;10;1;1;S;X;1-s 10hz-1.csv;0,87;0,9541441766;0,0081856120
5,8665273615;10;5.6;1;S;X;1-s 10hz-5.6.csv;4,76;0,9541441766;0,0444121643
0,1076035602;16;0.1;1;S;X;1-s 16hz-0.1.csv;0,14;0,9499539827;0,0396148315
1,0557086820;16;1;1;S;X;1-s 16hz-1.csv;0,99;0,9499539827;0,0513333402
2,6397132607;16;2.5;1;S;X;1-s 16hz-2.5.csv;2,49;0,9499539827;0,1358236648
4,2267388738;16;4;1;S;X;1-s 16hz-4.csv;4,05;0,9499539827;0,2715611976
5,8938571264;16;5.6;1;S;X;1-s 16hz-5.6.csv;5,25;0,9499539827;0,0197669503
0,1076239186;25;0.1;1;S;X;1-s 25hz-0.1.csv;0,14;0,9504231401;0,0408618334
1,0510929637;25;1;1;S;X;1-s 25hz-1.csv;0,91;0,9504231401;0,0181593729
2,6395032531;25;2.5;1;S;X;1-s 25hz-2.5.csv;2,49;0,9504231401;0,1543744673
4,2183349301;25;4;1;S;X;1-s 25hz-4.csv;3,9;0,9504231401;0,1643416133
5,8825317976;25;5.6;1;S;X;1-s 25hz-5.6.csv;5,05;0,9504231401;0,1626010191
0,1039217915;32;0.1;1;S;X;1-s 32hz-0.1.csv;0,07;0,9796934261;0,0323481422
1,0218568424;32;1;1;S;X;1-s 32hz-1.csv;0,39;0,9796934261;0,0197576949
2,5490927524;32;2.5;1;S;X;1-s 32hz-2.5.csv;0,88;0,9796934261;0,0476890705
4,0857838425;32;4;1;S;X;1-s 32hz-4.csv;1,53;0,9796934261;0,0502780531
5,7170342536;32;5.6;1;S;X;1-s 32hz-5.6.csv;2,09;0,9796934261;0,0168013402
0,1133353788;5;0.1;1;S;X;1-s 5hz-0.1.csv;0,24;0,9499852745;0,1369096596
0,1082049962;10;0.1;2;S;X;2-s 10hz-0.1.csv;0,15;0,9550472041;0,0596585553
0,5220183371;10;0.5;2;S;X;2-s 10hz-0.5.csv;0,39;0,9550472041;0,0258544043
1,0513776934;10;1;2;S;X;2-s 10hz-1.csv;0,92;0,9550472041;0,0734879746
5,8619425945;10;5.6;2;S;X;2-s 10hz-5.6.csv;4,68;0,9550472041;0,0280020411
0,1079846702;16;0.1;2;S;X;2-s 16hz-0.1.csv;0,14;0,9496383290;0,0454711030
1,0576396696;16;1;2;S;X;2-s 16hz-1.csv;1,03;0,9496383290;0,0781280098
2,6380802333;16;2.5;2;S;X;2-s 16hz-2.5.csv;2,47;0,9496383290;0,0932518674
4,2286190269;16;4;2;S;X;2-s 16hz-4.csv;4,08;0,9496383290;0,2796197638
5,8950509012;16;5.6;2;S;X;2-s 16hz-5.6.csv;5,27;0,9496383290;0,0327448694
0,1078462922;25;0.1;2;S;X;2-s 25hz-0.1.csv;0,14;0,9501818688;0,0441712762
1,0535558212;25;1;2;S;X;2-s 25hz-1.csv;0,96;0,9501818688;0,0191006984
2,6412302975;25;2.5;2;S;X;2-s 25hz-2.5.csv;2,52;0,9501818688;0,1723060732
4,2215965154;25;4;2;S;X;2-s 25hz-4.csv;3,96;0,9501818688;0,2015083298
5,8917493457;25;5.6;2;S;X;2-s 25hz-5.6.csv;5,21;0,9501818688;0,0315463571
0,1033823365;32;0.1;2;S;X;2-s 32hz-0.1.csv;0,06;0,9873483327;0,0370424567
1,0162392012;32;1;2;S;X;2-s 32hz-1.csv;0,29;0,9873483327;0,0603943026
2,5271287049;32;2.5;2;S;X;2-s 32hz-2.5.csv;0,48;0,9873483327;0,0864944045
4,0555698922;32;4;2;S;X;2-s 32hz-4.csv;0,99;0,9873483327;0,0760744872
5,6748531281;32;5.6;2;S;X;2-s 32hz-5.6.csv;1,34;0,9873483327;0,0545852580
0,1132309557;5;0.1;2;S;X;2-s 5hz-0.1.csv;0,24;0,9498842653;0,1349339851
