acceleration;frequency;boost;sensor;source_file;axis;source_filename;error_%;Optimal_k;new_error_%
0,1036242402;10;0.1;1;S;Z;1-S 10HZ 0.1.csv;0,06;0,9729000000;0,0145718445
1,0290653112;10;1;1;S;Z;1-S 10HZ 1.csv;0,52;0,9729000000;0,0210293083
2,5702678305;10;2.5;1;S;Z;1-S 10HZ 2.5.csv;1,25;0,9729000000;0,0109566481
4,1103926853;10;4;1;S;Z;1-S 10HZ 4.csv;1,97;0,9729000000;0,0178385084
5,7557647036;10;5.6;1;S;Z;1-S 10HZ 5.6.csv;2,78;0,9729000000;0,0038664262
0,1141777647;16;0.1;1;S;Z;1-S 16HZ 0.1.csv;0,25;0,9800000000;0,2123965965
1,0197586497;16;1;1;S;Z;1-S 16HZ 1.csv;0,35;0,9800000000;0,0113664874
2,5414255604;16;2.5;1;S;Z;1-S 16HZ 2.5.csv;0,74;0,9800000000;0,1679098359
5,7021419011;16;5.6;1;S;Z;1-S 16HZ 5.6.csv;1,82;0,9800000000;0,2125167308
0,1055655977;25;0.1;1;S;Z;1-S 25HZ 0.1.csv;0,1;0,9966000000;0,0929763334
1,0078930030;25;1;1;S;Z;1-S 25HZ 1.csv;0,14;0,9966000000;0,0797529784
2,5066009392;25;2.5;1;S;Z;1-S 25HZ 2.5.csv;0,12;0,9966000000;0,0343125713
4,0087681573;25;4;1;S;Z;1-S 25HZ 4.csv;0,16;0,9966000000;0,0868152578
5,6172804212;25;5.6;1;S;Z;1-S 25HZ 5.6.csv;0,31;0,9966000000;0,0324702184
1,0066538943;32;1;1;S;Z;1-S 32HZ 1.csv;0,12;1,0142000000;0,3740782071
3,9288045161;32;4;1;S;Z;1-S 32HZ 4.csv;1,27;1,0142000000;0,2751153531
5,5013858648;32;5.6;1;S;Z;1-S 32HZ 5.6.csv;1,76;1,0142000000;0,3659724271
0,1058085294;10;0.1;2;S;Z;2-S 10HZ 0.1.csv;0,1;0,9585000000;0,0253120612
1,0449965048;10;1;2;S;Z;2-S 10HZ 1.csv;0,8;0,9585000000;0,0290919616
2,6094818974;10;2.5;2;S;Z;2-S 10HZ 2.5.csv;1,96;0,9585000000;0,0212214046
4,1718426652;10;4;2;S;Z;2-S 10HZ 4.csv;3,07;0,9585000000;0,0230143822
5,8414292553;10;5.6;2;S;Z;2-S 10HZ 5.6.csv;4,31;0,9585000000;0,0176796213
0,1164601923;16;0.1;2;S;Z;2-S 16HZ 0.1.csv;0,29;0,9667000000;0,2246797839
1,0357456630;16;1;2;S;Z;2-S 16HZ 1.csv;0,64;0,9667000000;0,0224166504
2,5796964323;16;2.5;2;S;Z;2-S 16HZ 2.5.csv;1,42;0,9667000000;0,1108474803
4,1425205009;16;4;2;S;Z;2-S 16HZ 4.csv;2,55;0,9667000000;0,0816887182
5,7800477170;16;5.6;2;S;Z;2-S 16HZ 5.6.csv;3,22;0,9667000000;0,2219262853
0,1083246318;25;0.1;2;S;Z;2-S 25HZ 0.1.csv;0,15;0,9819000000;0,1136420708
1,0238711793;25;1;2;S;Z;2-S 25HZ 1.csv;0,43;0,9819000000;0,0953412670
2,5442807133;25;2.5;2;S;Z;2-S 25HZ 2.5.csv;0,79;0,9819000000;0,0316208502
4,0673994660;25;4;2;S;Z;2-S 25HZ 4.csv;1,2;0,9819000000;0,1110797203
5,6987078460;25;5.6;2;S;Z;2-S 25HZ 5.6.csv;1,76;0,9819000000;0,0792636788
1,0173780454;32;1;2;S;Z;2-S 32HZ 1.csv;0,31;0,9997000000;0,3048719998
3,9892837300;32;4;2;S;Z;2-S 32HZ 4.csv;0,19;0,9997000000;0,2127331271
5,5848846291;32;5.6;2;S;Z;2-S 32HZ 5.6.csv;0,27;0,9997000000;0,2998363623
