acceleration;frequency;boost;sensor;source_file;axis;Optimal_k;error_%;new_error_%;source_filename
0,1077503256;10;0.1;1;S;X;0,9541441766;0,14;0,0501668875;1-s 10hz-0.1.csv
0,5211114815;10;0.5;1;S;X;0,9541441766;0,38;0,0497234745;1-s 10hz-0.5.csv
1,0485400622;10;1;1;S;X;0,9541441766;0,87;0,0081856120;1-s 10hz-1.csv
5,8665273615;10;5.6;1;S;X;0,9541441766;4,76;0,0444121643;1-s 10hz-5.6.csv
0,1076035602;16;0.1;1;S;X;0,9499539827;0,14;0,0396148315;1-s 16hz-0.1.csv
1,0557086820;16;1;1;S;X;0,9499539827;0,99;0,0513333402;1-s 16hz-1.csv
2,6397132607;16;2.5;1;S;X;0,9499539827;2,49;0,1358236648;1-s 16hz-2.5.csv
4,2267388738;16;4;1;S;X;0,9499539827;4,05;0,2715611976;1-s 16hz-4.csv
5,8938571264;16;5.6;1;S;X;0,9499539827;5,25;0,0197669503;1-s 16hz-5.6.csv
0,1076239186;25;0.1;1;S;X;0,9504231401;0,14;0,0408618334;1-s 25hz-0.1.csv
1,0510929637;25;1;1;S;X;0,9504231401;0,91;0,0181593729;1-s 25hz-1.csv
2,6395032531;25;2.5;1;S;X;0,9504231401;2,49;0,1543744673;1-s 25hz-2.5.csv
4,2183349301;25;4;1;S;X;0,9504231401;3,9;0,1643416133;1-s 25hz-4.csv
5,8825317976;25;5.6;1;S;X;0,9504231401;5,05;0,1626010191;1-s 25hz-5.6.csv
0,1039217915;32;0.1;1;S;X;0,9796934261;0,07;0,0323481422;1-s 32hz-0.1.csv
1,0218568424;32;1;1;S;X;0,9796934261;0,39;0,0197576949;1-s 32hz-1.csv
2,5490927524;32;2.5;1;S;X;0,9796934261;0,88;0,0476890705;1-s 32hz-2.5.csv
4,0857838425;32;4;1;S;X;0,9796934261;1,53;0,0502780531;1-s 32hz-4.csv
5,7170342536;32;5.6;1;S;X;0,9796934261;2,09;0,0168013402;1-s 32hz-5.6.csv
0,1133353788;5;0.1;1;S;X;0,9499852745;0,24;0,1369096596;1-s 5hz-0.1.csv
0,1082049962;10;0.1;2;S;X;0,9550472041;0,15;0,0596585553;2-s 10hz-0.1.csv
0,5220183371;10;0.5;2;S;X;0,9550472041;0,39;0,0258544043;2-s 10hz-0.5.csv
1,0513776934;10;1;2;S;X;0,9550472041;0,92;0,0734879746;2-s 10hz-1.csv
5,8619425945;10;5.6;2;S;X;0,9550472041;4,68;0,0280020411;2-s 10hz-5.6.csv
0,1079846702;16;0.1;2;S;X;0,9496383290;0,14;0,0454711030;2-s 16hz-0.1.csv
1,0576396696;16;1;2;S;X;0,9496383290;1,03;0,0781280098;2-s 16hz-1.csv
2,6380802333;16;2.5;2;S;X;0,9496383290;2,47;0,0932518674;2-s 16hz-2.5.csv
4,2286190269;16;4;2;S;X;0,9496383290;4,08;0,2796197638;2-s 16hz-4.csv
5,8950509012;16;5.6;2;S;X;0,9496383290;5,27;0,0327448694;2-s 16hz-5.6.csv
0,1078462922;25;0.1;2;S;X;0,9501818688;0,14;0,0441712762;2-s 25hz-0.1.csv
1,0535558212;25;1;2;S;X;0,9501818688;0,96;0,0191006984;2-s 25hz-1.csv
2,6412302975;25;2.5;2;S;X;0,9501818688;2,52;0,1723060732;2-s 25hz-2.5.csv
4,2215965154;25;4;2;S;X;0,9501818688;3,96;0,2015083298;2-s 25hz-4.csv
5,8917493457;25;5.6;2;S;X;0,9501818688;5,21;0,0315463571;2-s 25hz-5.6.csv
0,1033823365;32;0.1;2;S;X;0,9873483327;0,06;0,0370424567;2-s 32hz-0.1.csv
1,0162392012;32;1;2;S;X;0,9873483327;0,29;0,0603943026;2-s 32hz-1.csv
2,5271287049;32;2.5;2;S;X;0,9873483327;0,48;0,0864944045;2-s 32hz-2.5.csv
4,0555698922;32;4;2;S;X;0,9873483327;0,99;0,0760744872;2-s 32hz-4.csv
5,6748531281;32;5.6;2;S;X;0,9873483327;1,34;0,0545852580;2-s 32hz-5.6.csv
0,1132309557;5;0.1;2;S;X;0,9498842653;0,24;0,1349339851;2-s 5hz-0.1.csv
0,1063724853;10;0.1;1;S;Y;0,9516000000;0,11;0,0218581609;1-s 10hz 0.1.csv
1,0478249797;10;1;1;S;Y;0,9516000000;0,85;0,0516026664;1-s 10hz 1.csv
2,6254009745;10;2.5;1;S;Y;0,9516000000;2,24;0,0297934405;1-s 10hz 2.5.csv
4,2021711253;10;4;1;S;Y;0,9516000000;3,61;0,0216778065;1-s 10hz 4.csv
5,8874347957;10;5.6;1;S;Y;0,9516000000;5,13;0,0443384212;1-s 10hz 5.6.csv
0,1133040798;16;0.1;1;S;Y;0,9500000000;0,24;0,1364084966;1-s 16hz 0.1.csv
1,0712325044;16;1;1;S;Y;0,9500000000;1,27;0,3155514139;1-s 16hz 1.csv
2,6596072623;16;2.5;1;S;Y;0,9500000000;2,85;0,4754803426;1-s 16hz 2.5.csv
4,2623322863;16;4;1;S;Y;0,9500000000;4,68;0,8788512854;1-s 16hz 4.csv
