Ось,Частота (Hz),Модель,Формула,R²
X,10.0,poly3,k = 0.9169·boost³ + 0.1382·boost² + -0.1181·boost + 0.0169,1.0000
X,16.0,poly3,k = 0.9267·boost³ + 0.0260·boost² + -0.0091·boost + 0.0009,0.9516
X,25.0,poly3,k = 0.9279·boost³ + 0.0289·boost² + -0.0104·boost + 0.0011,0.8652
X,32.0,poly3,k = 0.9605·boost³ + 0.0237·boost² + -0.0078·boost + 0.0008,0.9808
Y,10.0,poly3,k = 0.9389·boost³ + 0.0190·boost² + -0.0067·boost + 0.0007,0.8687
Y,16.0,poly3,k = 0.8777·boost³ + 0.0707·boost² + -0.0227·boost + 0.0021,0.9630
Y,25.0,poly3,k = 0.9609·boost³ + -0.0088·boost² + 0.0034·boost + -0.0004,0.6145
Y,32.0,poly3,k = 0.9531·boost³ + 0.0475·boost² + -0.0138·boost + 0.0012,0.9938
Z,10.0,poly3,k = 0.9629·boost³ + 0.0108·boost² + -0.0034·boost + 0.0003,0.9532
Z,16.0,poly3,k = 0.8677·boost³ + 0.1429·boost² + -0.0479·boost + 0.0047,0.9432
Z,25.0,poly3,k = 0.9440·boost³ + 0.0601·boost² + -0.0190·boost + 0.0018,0.9576
Z,32.0,poly2,k = 1.0062·boost² + 0.0052·boost + -0.0006,1.0000
